timestamp,accel_device_id_primary,accel_device_ids[0],accel_device_ids[1],accel_device_ids[2],accel_device_ids[3],accel_inconsistency_m_s_s[0],accel_inconsistency_m_s_s[1],accel_inconsistency_m_s_s[2],accel_inconsistency_m_s_s[3],gyro_device_id_primary,gyro_device_ids[0],gyro_device_ids[1],gyro_device_ids[2],gyro_device_ids[3],gyro_inconsistency_rad_s[0],gyro_inconsistency_rad_s[1],gyro_inconsistency_rad_s[2],gyro_inconsistency_rad_s[3],accel_healthy[0],accel_healthy[1],accel_healthy[2],accel_healthy[3],gyro_healthy[0],gyro_healthy[1],gyro_healthy[2],gyro_healthy[3]
15000000,1310988,1310988,1310996,1311004,0,0.00144325,0.0029233673,0.0018626346,0.0,1310988,1310988,1310996,1311004,0,0.00022011808,0.0001995378,9.976388e-05,0.0,1,1,1,0,1,1,1,0
15200000,1310988,1310988,1310996,1311004,0,0.0029491175,0.002535426,0.0028351462,0.0,1310988,1310988,1310996,1311004,0,0.00026493456,0.00013904355,0.00021260524,0.0,1,1,1,0,1,1,1,0
15400000,1310988,1310988,1310996,1311004,0,0.009134305,0.005294753,0.0041874247,0.0,1310988,1310988,1310996,1311004,0,0.00020558067,0.0002999862,0.00031313766,0.0,1,1,1,0,1,1,1,0
15596000,1310988,1310988,1310996,1311004,0,0.0050245845,0.0023943668,0.0052377502,0.0,1310988,1310988,1310996,1311004,0,0.00024083645,9.358929e-05,0.00022947924,0.0,1,1,1,0,1,1,1,0
15800000,1310988,1310988,1310996,1311004,0,0.005152593,0.010299841,0.015311222,0.0,1310988,1310988,1310996,1311004,0,0.0003458845,0.000331622,0.00059596525,0.0,1,1,1,0,1,1,1,0
16000000,1310988,1310988,1310996,1311004,0,0.004759937,0.003716063,0.00485037,0.0,1310988,1310988,1310996,1311004,0,0.0001340918,0.00013715678,0.00020155848,0.0,1,1,1,0,1,1,1,0
16200000,1310988,1310988,1310996,1311004,0,0.004105007,0.004832258,0.0058364696,0.0,1310988,1310988,1310996,1311004,0,0.00026907597,0.00025024795,0.00018062699,0.0,1,1,1,0,1,1,1,0
16400000,1310988,1310988,1310996,1311004,0,0.0060834032,0.0067361393,0.011784257,0.0,1310988,1310988,1310996,1311004,0,0.00029962574,0.00023169504,0.00016607063,0.0,1,1,1,0,1,1,1,0
16600000,1310988,1310988,1310996,1311004,0,0.015414494,0.006455467,0.009785017,0.0,1310988,1310988,1310996,1311004,0,0.00020121357,0.00032389938,0.0004803947,0.0,1,1,1,0,1,1,1,0
16800000,1310988,1310988,1310996,1311004,0,0.0015396469,0.004822817,0.0043790923,0.0,1310988,1310988,1310996,1311004,0,0.00046432664,0.00016063615,0.000433096,0.0,1,1,1,0,1,1,1,0
16996000,1310988,1310988,1310996,1311004,0,0.0045362604,0.0016249898,0.0039996556,0.0,1310988,1310988,1310996,1311004,0,0.00021718071,0.0001741816,0.00017687002,0.0,1,1,1,0,1,1,1,0
17196000,1310988,1310988,1310996,1311004,0,0.002449191,0.004348012,0.0057141404,0.0,1310988,1310988,1310996,1311004,0,0.0004562911,0.00051949633,0.00029356132,0.0,1,1,1,0,1,1,1,0
17400000,1310988,1310988,1310996,1311004,0,0.004895217,0.0049123666,0.0028342118,0.0,1310988,1310988,1310996,1311004,0,0.0003227463,0.000215871,0.00038773956,0.0,1,1,1,0,1,1,1,0
17596000,1310988,1310988,1310996,1311004,0,0.0044593117,0.008053624,0.0036473514,0.0,1310988,1310988,1310996,1311004,0,0.0002945489,0.00013950717,0.00028374008,0.0,1,1,1,0,1,1,1,0
17796000,1310988,1310988,1310996,1311004,0,0.005417266,0.0054829875,0.0107923215,0.0,1310988,1310988,1310996,1311004,0,0.00033036352,4.314212e-05,0.0003125549,0.0,1,1,1,0,1,1,1,0
18000000,1310988,1310988,1310996,1311004,0,0.0019783743,0.0034426402,0.0021147719,0.0,1310988,1310988,1310996,1311004,0,0.0002460057,0.00016101396,0.00038855153,0.0,1,1,1,0,1,1,1,0
18200000,1310988,1310988,1310996,1311004,0,0.0023801334,0.006344177,0.008633963,0.0,1310988,1310988,1310996,1311004,0,0.00016856292,0.0001981678,0.00012134233,0.0,1,1,1,0,1,1,1,0
18396000,1310988,1310988,1310996,1311004,0,0.01816522,0.010155032,0.008106972,0.0,1310988,1310988,1310996,1311004,0,0.00016193285,0.00020080042,9.494621e-05,0.0,1,1,1,0,1,1,1,0
18600000,1310988,1310988,1310996,1311004,0,0.008899019,0.007572175,0.0023071792,0.0,1310988,1310988,1310996,1311004,0,0.0003566252,0.0005065512,0.00042821336,0.0,1,1,1,0,1,1,1,0
18796000,1310988,1310988,1310996,1311004,0,0.006944861,0.01334268,0.0065029436,0.0,1310988,1310988,1310996,1311004,0,0.00038925532,0.00058526266,0.00075768685,0.0,1,1,1,0,1,1,1,0
19000000,1310988,1310988,1310996,1311004,0,0.0009988473,0.0026925926,0.002477696,0.0,1310988,1310988,1310996,1311004,0,0.0002701369,0.0005869297,0.0004185102,0.0,1,1,1,0,1,1,1,0
19196000,1310988,1310988,1310996,1311004,0,0.003382334,0.0023509183,0.003759968,0.0,1310988,1310988,1310996,1311004,0,0.00037393154,0.0003639893,0.00013862159,0.0,1,1,1,0,1,1,1,0
19400000,1310988,1310988,1310996,1311004,0,0.0030478237,0.0016611486,0.0014053866,0.0,1310988,1310988,1310996,1311004,0,0.00046308874,0.00032137457,0.00020971734,0.0,1,1,1,0,1,1,1,0
19600000,1310988,1310988,1310996,1311004,0,0.0023678066,0.003190806,0.0026424655,0.0,1310988,1310988,1310996,1311004,0,0.0005158452,0.00028535142,0.00032229343,0.0,1,1,1,0,1,1,1,0
19800000,1310988,1310988,1310996,1311004,0,0.0029111835,0.0014389994,0.0021666845,0.0,1310988,1310988,1310996,1311004,0,0.0005876385,0.0003114608,0.0003929652,0.0,1,1,1,0,1,1,1,0
20000000,1310988,1310988,1310996,1311004,0,0.0021123157,0.0018757606,0.0025289233,0.0,1310988,1310988,1310996,1311004,0,0.0007524849,0.0002918464,0.00046209493,0.0,1,1,1,0,1,1,1,0
20200000,1310988,1310988,1310996,1311004,0,0.0013555386,0.0023680846,0.0034297106,0.0,1310988,1310988,1310996,1311004,0,0.0006143078,0.00027935876,0.00037731128,0.0,1,1,1,0,1,1,1,0
20400000,1310988,1310988,1310996,1311004,0,0.002899031,0.0057085305,0.0034577912,0.0,1310988,1310988,1310996,1311004,0,0.00057770306,0.00047661702,0.00017395683,0.0,1,1,1,0,1,1,1,0
20600000,1310988,1310988,1310996,1311004,0,0.053991638,0.12708144,0.078224935,0.0,1310988,1310988,1310996,1311004,0,0.0017019144,0.006532936,0.0065791593,0.0,1,1,1,0,1,1,1,0
20800000,1310988,1310988,1310996,1311004,0,0.013247142,0.006890841,0.019326195,0.0,1310988,1310988,1310996,1311004,0,0.0006897002,0.00042501074,0.0008152981,0.0,1,1,1,0,1,1,1,0
20996000,1310988,1310988,1310996,1311004,0,0.0079451725,0.011573131,0.0061764377,0.0,1310988,1310988,1310996,1311004,0,0.00044811968,0.0002047988,0.00046976664,0.0,1,1,1,0,1,1,1,0
21196000,1310988,1310988,1310996,1311004,0,0.0042084525,0.0011807381,0.0041129454,0.0,1310988,1310988,1310996,1311004,0,0.00038202413,9.193688e-05,0.00037978432,0.0,1,1,1,0,1,1,1,0
21400000,1310988,1310988,1310996,1311004,0,0.004536413,0.0025992026,0.0020158729,0.0,1310988,1310988,1310996,1311004,0,0.00029742438,0.00014199021,0.00024892783,0.0,1,1,1,0,1,1,1,0
21600000,1310988,1310988,1310996,1311004,0,0.00419773,0.0015039765,0.005100401,0.0,1310988,1310988,1310996,1311004,0,0.000577236,0.00021335215,0.0005979256,0.0,1,1,1,0,1,1,1,0
